A/Cambodia/e1009251/2020	2020-10-08	h3n2_flu	Asia	Cambodia	Human	EPI_ISL_1041033	WHO Collaborating Centre for Reference and Research on Influenza	Institute Pasteur du Cambodia
A/Laos/799/2021	2021-03-01	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245459	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/766/2021	2021-03-02	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245460	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/418/2021	2021-02-09	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245461	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/527/2021	2021-02-16	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245462	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/504/2021	2021-02-16	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245463	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/469/2021	2021-02-08	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245464	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/580/2021	2021-02-21	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245465	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/785/2021	2021-03-01	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245466	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/Laos/694/2021	2021-02-24	h3n2_flu	Asia	Laos	Human	EPI_ISL_2245467	Centers for Disease Control and Prevention	National Center for Laboratory and Epidemiology
A/YAMAGATA/1/2021	2021-02-09	h3n2_flu	Asia	Japan	Human	EPI_ISL_3162307	National Institute of Infectious Diseases (NIID)	Yamagata Prefectural Institute of Public Health
A/YAMAGATA/2/2021	2021-02-09	h3n2_flu	Asia	Japan	Human	EPI_ISL_3162308	National Institute of Infectious Diseases (NIID)	Yamagata Prefectural Institute of Public Health
A/India/Pun-NIV301759/2021_Apr	2021-04-12	h3n2_flu	Asia	India	Human	EPI_ISL_3375109	ICMR-National Institute of Virology	ICMR-National Institute of Virology
A/India/Pun-NIV302100/2021_Apr	2021-04-12	h3n2_flu	Asia	India	Human	EPI_ISL_3375125	ICMR-National Institute of Virology	ICMR-National Institute of Virology
A/India/Pun-NIV301132/2021_Apr	2021-04-11	h3n2_flu	Asia	India	Human	EPI_ISL_3375126	ICMR-National Institute of Virology	ICMR-National Institute of Virology
