strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/chicken/Nuble/241681-1/2023	2023-03-10	avian_flu	South America	Chile	Avian	EPI_ISL_17885873	?	?
A/chicken/OHiggins/241252-1/2023	2023-03-12	avian_flu	South America	Chile	Avian	EPI_ISL_17885872	?	?
A/chicken/OHiggins/241252-3/2023	2023-03-12	avian_flu	South America	Chile	Avian	EPI_ISL_17885871	?	?
A/chicken/OHiggins/241252-6/2023	2023-03-12	avian_flu	South America	Chile	Avian	EPI_ISL_17885870	?	?
A/chicken/Peru/AIS0551/2022	2022-12-12	avian_flu	South America	Peru	Avian	EPI_ISL_17806001	?	?
A/chicken/Peru/AIS0549/2022	2022-12-22	avian_flu	South America	Peru	Avian	EPI_ISL_17805996	?	?
A/chicken/Peru/AIS0550/2022	2022-12-12	avian_flu	South America	Peru	Avian	EPI_ISL_17805995	?	?
A/chicken/Peru/AIS0548/2022	2022-12-22	avian_flu	South America	Peru	Avian	EPI_ISL_17805994	?	?
A/chicken/Peru/AIS0547/2022	2022-12-28	avian_flu	South America	Peru	Avian	EPI_ISL_17805993	?	?
A/chicken/Peru/AIS0545/2022	2022-12-03	avian_flu	South America	Peru	Avian	EPI_ISL_17805992	?	?
A/chicken/Peru/AIS0544/2022	2022-12-03	avian_flu	South America	Peru	Avian	EPI_ISL_17805991	?	?
A/chicken/Peru/AIS0543/2022	2022-12-01	avian_flu	South America	Peru	Avian	EPI_ISL_17805990	?	?
A/chicken/Peru/AIS0542/2022	2022-12-01	avian_flu	South America	Peru	Avian	EPI_ISL_17805989	?	?
A/chicken/Peru/AIS0540/2022	2022-11-28	avian_flu	South America	Peru	Avian	EPI_ISL_17805988	?	?
A/chicken/Peru/AIS0539/2022	2022-11-18	avian_flu	South America	Peru	Avian	EPI_ISL_17805987	?	?
A/chicken/Peru/AIS0546/2022	2022-12-18	avian_flu	South America	Peru	Avian	EPI_ISL_17805986	?	?
A/chicken/Magdalena/ICA-3503/2022	2022-11-18	avian_flu	South America	Colombia	Avian	EPI_ISL_17353838	?	?
A/chicken/Cordoba/ICA-3499/2022	2022-11-26	avian_flu	South America	Colombia	Avian	EPI_ISL_17353510	?	?
A/chicken/Choco/ICA-3504/2022	2022-11-01	avian_flu	South America	Colombia	Avian	EPI_ISL_17353509	?	?
A/chicken/Choco/ICA-3502/2022	2022-11-13	avian_flu	South America	Colombia	Avian	EPI_ISL_17353508	?	?
A/chicken/Bolivar/ICA-3500/2022	2022-11-08	avian_flu	South America	Colombia	Avian	EPI_ISL_17353507	?	?
A/Duck/Argentina/2197-1/2023	2023-05-11	avian_flu	South America	Argentina	Avian	EPI_ISL_18698523	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Duck/Argentina/1712-5/2023	2023-04-19	avian_flu	South America	Argentina	Avian	EPI_ISL_18698515	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/backyard_duck/Uruguay/UDELAR-124-M3/2023	2023-04-16	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310960	?	?
A/duck/Araucania/239189-3/2023	2023-02-28	avian_flu	South America	Chile	Avian	EPI_ISL_17885963	?	?
A/duck/Araucania/240481-2/2023	2023-03-07	avian_flu	South America	Chile	Avian	EPI_ISL_17885961	?	?
A/duck/Araucania/241914-2/2023	2023-03-14	avian_flu	South America	Chile	Avian	EPI_ISL_17885959	?	?
A/duck/Maule/240466-1/2023	2023-03-07	avian_flu	South America	Chile	Avian	EPI_ISL_17885957	?	?
A/duck/Choco/ICA-3501/2022	2022-10-09	avian_flu	South America	Colombia	Avian	EPI_ISL_17353839	?	?
A/duck/Peru/CAL-INS-013/2023	2023-07-24	avian_flu	South America	Peru	Avian	EPI_ISL_18217104	Instituto Nacional de Salud Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/humboldt_penguin/Antofagasta/SJCEIRR-2360632/2023	2023-02-05	avian_flu	South America	Chile	Avian	EPI_ISL_18760066	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/humboldt_penguin/Coquimbo/239590/2023	2023-02-28	avian_flu	South America	Chile	Avian	EPI_ISL_17885948	?	?
A/humboldt_penguin/Tarapaca/238744-2/2023	2023-02-23	avian_flu	South America	Chile	Avian	EPI_ISL_17885947	?	?
A/wildbird-Sula-nebouxii/Ecuador/7611/2023	2023-05-18	avian_flu	South America	Ecuador	Avian	EPI_ISL_18137671	Instituto Nacional de Investigación en Salud Pública INSPI	Ministerio del Ambiente, Agua y Transición Ecológica (MAATE)
A/wildbird-Sula-nebouxii/Ecuador/7607/2023	2023-05-18	avian_flu	South America	Ecuador	Avian	EPI_ISL_18137626	Instituto Nacional de Investigación en Salud Pública INSPI	Ministerio del Ambiente, Agua y Transición Ecológica (MAATE)
A/wildbird-Fregata-magnificens/Ecuador/IC06-4590/2023	2023-01-11	avian_flu	South America	Ecuador	Avian	EPI_ISL_17973458	Instituto Nacional de Investigación en Salud Pública INSPI	Ministerio del Ambiente, Agua y Transición Ecológica (MAATE)
A/wildbird-Fregata-magnificens/Ecuador/IC03-4587/2023	2023-01-11	avian_flu	South America	Ecuador	Avian	EPI_ISL_17973443	Instituto Nacional de Investigación en Salud Pública INSPI	Ministerio del Ambiente, Agua y Transición Ecológica (MAATE)
A/Pelican/Venezuela/Pel4/2022	2022-11-25	avian_flu	South America	Venezuela	Avian	EPI_ISL_16013753	Instituto Venezolano de investigaciones Científicas	"Instituto Nacional de Higiene ""Rafael Rangel"""
A/Pelican/Venezuela/Pel3/2022	2022-11-25	avian_flu	South America	Venezuela	Avian	EPI_ISL_16013752	Instituto Venezolano de investigaciones Científicas	"Instituto Nacional de Higiene ""Rafael Rangel"""
A/pelican/Peru/PIU-INS-001/2022	2022-11-12	avian_flu	South America	Peru	Avian	EPI_ISL_16249274	Instituto Nacional de Salud Peru	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/Pelecanus_occidentalis/Venezuela/4S4/2022	2022-11-25	avian_flu	South America	Venezuela	Avian	EPI_ISL_16854405	?	?
A/Pelecanus_occidentalis/Venezuela/3S4/2022	2022-11-25	avian_flu	South America	Venezuela	Avian	EPI_ISL_16854397	?	?
A/Guanay_cormorant/Peru/PIU-SER024/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18265434	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/Sanderling/Peru/PIU-SER005/2022	2022-11-22	avian_flu	South America	Peru	Avian	EPI_ISL_18265432	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/chicken/Ecuador/02/2022	2022-11-25	avian_flu	South America	Ecuador	Avian	EPI_ISL_16157545	Instituto Nacional de Investigación en Salud Pública INSPI	Instituto Nacional de Investigación en Salud Pública INSPI
A/chicken/Ecuador/04/2022	2022-11-25	avian_flu	South America	Ecuador	Avian	EPI_ISL_16161675	Instituto Nacional de Investigación en Salud Pública INSPI	AGROCALIDAD
A/chicken/Ecuador/03/2022	2022-11-25	avian_flu	South America	Ecuador	Avian	EPI_ISL_16161673	Instituto Nacional de Investigación en Salud Pública INSPI	AGROCALIDAD
A/chicken/Peru/LIM-INS-003/2022	2022-11-29	avian_flu	South America	Peru	Avian	EPI_ISL_16249730	Instituto Nacional de Salud Peru	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/chicken/Peru/LAM-INS-002/2022	2022-11-28	avian_flu	South America	Peru	Avian	EPI_ISL_16249681	Instituto Nacional de Salud Peru	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/duck/Peru/LAM-INS-015/2023	2023-09-20	avian_flu	South America	Peru	Avian	EPI_ISL_18497950	Instituto Nacional de Salud Peru	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/duck/Peru/LAM-INS-014/2023	2023-09-26	avian_flu	South America	Peru	Avian	EPI_ISL_18497946	Instituto Nacional de Salud Peru	Servicio Nacional de Sanidad Agraria del Perú - SENASA
