strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/south_american_sea_lion/Peru/AQP-SER00R/2023	2023-03-06	avian_flu	South America	Peru	Mammal	EPI_ISL_18265422	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/south_american_sea_lion/Peru/AQP-SER00K/2023	2023-02-07	avian_flu	South America	Peru	Mammal	EPI_ISL_18265321	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/Sea_Lion/Argentina/3893-1/2023	2023-08-11	avian_flu	South America	Argentina	Mammal	EPI_ISL_18698755	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Sea_Lion/Argentina/3849-4/2023	2023-08-08	avian_flu	South America	Argentina	Mammal	EPI_ISL_18698754	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/sea_lion/Peru/TAC-INS-011/2023	2023-03-07	avian_flu	South America	Peru	Mammal	EPI_ISL_17777532	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/sea_lion/Peru/TAC-INS-010/2023	2023-03-07	avian_flu	South America	Peru	Mammal	EPI_ISL_17777531	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/sea_lion/Peru/AQP-SER00R/2023	2023-03-06	avian_flu	South America	Peru	Mammal	EPI_ISL_18054510	?	?
A/sea_lion/Peru/AQP-SER00K/2023	2023-02-07	avian_flu	South America	Peru	Mammal	EPI_ISL_18054509	?	?
A/sea_lion/Peru/AQP-SER00B/2023	2023-01-25	avian_flu	South America	Peru	Mammal	EPI_ISL_18054508	?	?
A/dolphin/Peru/PIU-002/2022	2022-11-22	avian_flu	South America	Peru	Mammal	EPI_ISL_18054503	?	?
A/Sea_Lion/Peru/LIM-SER036/2023	2023-01-23	avian_flu	South America	Peru	Mammal	EPI_ISL_18054502	?	?
A/sea_lion/Arica_y_Parinacota/240270-1/2023	2023-03-01	avian_flu	South America	Chile	Mammal	EPI_ISL_17885976	?	?
A/sea_lion/Tarapaca/240524-2/2023	2023-03-07	avian_flu	South America	Chile	Mammal	EPI_ISL_17885975	?	?
A/Pelecanus/Peru/VFAR-140/2022	2022-12	avian_flu	South America	Peru	?	EPI_ISL_17165223	?	?
A/Pelican/Chile/227023-1/2022	2022-12-07	avian_flu	South America	Chile	?	EPI_ISL_17050893	?	?
A/Pelican/Chile/7087-1/2022	2022-12-07	avian_flu	South America	Chile	?	EPI_ISL_17012018	?	?
A/Pelican/Chile/6924-1/2022	2022-12-06	avian_flu	South America	Chile	?	EPI_ISL_17011963	?	?
A/Pelican/Chile/6618-1/2022	2022-12-05	avian_flu	South America	Chile	?	EPI_ISL_17011962	?	?
A/Pelican/Chile/6618-2/2022	2022-12-05	avian_flu	South America	Chile	?	EPI_ISL_17011961	?	?
A/Pelican/Chile/6958-1/2022	2022-12-06	avian_flu	South America	Chile	?	EPI_ISL_17011959	?	?
A/Pelican/Chile/6955-3/2022	2022-12-06	avian_flu	South America	Chile	?	EPI_ISL_17011957	?	?
A/Pelican/Chile/6955-1/2022	2022-12-06	avian_flu	South America	Chile	?	EPI_ISL_17011956	?	?
A/gray_gull/Chile/C61947/2022	2022-12-02	avian_flu	South America	Chile	?	EPI_ISL_16891400	?	?
A/Chile/25945/2023	2023-03-24	avian_flu	South America	Chile	Human	EPI_ISL_17468386	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Ecuador/6563/2023	2023-01-05	avian_flu	South America	Ecuador	Human	EPI_ISL_17021605	Centers for Disease Control and Prevention	Instituto Nacional de Investigación en Salud Pública INSPI
A/Thalasseus_acuflavidus/Brazil-ES/23ES1A0025/2023	2023-06-24	avian_flu	South America	Brazil	Avian	EPI_ISL_18130627	University of São Paulo	University of Sao Paulo
A/Thalasseus_maximus/Brazil-ES/23ES1A0008/2023	2023-06-21	avian_flu	South America	Brazil	Avian	EPI_ISL_18130597	University of São Paulo	University of Sao Paulo
A/Thalasseus_acuflavidus/Brazil-ES/23ES1A0009/2023	2023-06-21	avian_flu	South America	Brazil	Avian	EPI_ISL_18130622	University of São Paulo	University of Sao Paulo
A/Avian/Argentina/1790-5/2023	2023-04-24	avian_flu	South America	Argentina	Avian	EPI_ISL_18698517	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Avian/Argentina/1762-2/2023	2023-04-21	avian_flu	South America	Argentina	Avian	EPI_ISL_18698516	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Avian/Argentina/586-4/2023	2023-02-24	avian_flu	South America	Argentina	Avian	EPI_ISL_18698487	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Avian/Argentina/579-5/2023	2023-02-24	avian_flu	South America	Argentina	Avian	EPI_ISL_18698485	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Pelican/Venezuela/Inf9/2022	2022-12-12	avian_flu	South America	Venezuela	Avian	EPI_ISL_16631973	Instituto Venezolano de investigaciones Científicas	Instituto Nacional de Salud Agrícola Integral
A/brown_booby/Peru/23-005629-003-original/2022	2022-11-11	avian_flu	South America	Peru	Avian	EPI_ISL_17660074	National Veterinary Services Laboratories - USDA	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/owl/Peru/23-005629-001-original/2022	2022-11-11	avian_flu	South America	Peru	Avian	EPI_ISL_17660073	National Veterinary Services Laboratories - USDA	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/chicken/Peru/23-005607-003-original/2022	2022-11-11	avian_flu	South America	Peru	Avian	EPI_ISL_17660072	National Veterinary Services Laboratories - USDA	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/chicken/Peru/23-005607-002-original/2022	2022-11-11	avian_flu	South America	Peru	Avian	EPI_ISL_17660071	National Veterinary Services Laboratories - USDA	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/chicken/Peru/23-005607-001-original/2022	2022-11-11	avian_flu	South America	Peru	Avian	EPI_ISL_17660070	National Veterinary Services Laboratories - USDA	Servicio Nacional de Sanidad Agraria del Perú - SENASA
A/chicken/Atacama/SJCEIRR-2352542/2023	2023-02-04	avian_flu	South America	Chile	Avian	EPI_ISL_18760074	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/chicken/Araucania/SJCEIRR-244469/2023	2023-03-25	avian_flu	South America	Chile	Avian	EPI_ISL_18760073	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/chicken/Aysen/SJCEIRR-2477922/2023	2023-04-09	avian_flu	South America	Chile	Avian	EPI_ISL_18760068	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/chicken/Aysen/SJCEIRR-2477921/2023	2023-04-09	avian_flu	South America	Chile	Avian	EPI_ISL_18760064	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/chicken/Metropolitana/SJCEIRR-2431481/2023	2023-03-20	avian_flu	South America	Chile	Avian	EPI_ISL_18760060	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/chicken/OHiggins/SJCEIRR-2425812/2023	2023-03-16	avian_flu	South America	Chile	Avian	EPI_ISL_18690682	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/Chicken/Argentina/2016-2/2023	2023-05-03	avian_flu	South America	Argentina	Avian	EPI_ISL_18698732	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/895-1/2023	2023-03-09	avian_flu	South America	Argentina	Avian	EPI_ISL_18698731	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/747-1/2023	2023-03-04	avian_flu	South America	Argentina	Avian	EPI_ISL_18698730	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1495-4/2023	2023-04-10	avian_flu	South America	Argentina	Avian	EPI_ISL_18698719	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/3695-3/2023	2023-07-27	avian_flu	South America	Argentina	Avian	EPI_ISL_18698530	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/3657-2/2023	2023-07-26	avian_flu	South America	Argentina	Avian	EPI_ISL_18698529	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/3346-1/2023	2023-07-06	avian_flu	South America	Argentina	Avian	EPI_ISL_18698528	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2796-2/2023	2023-06-13	avian_flu	South America	Argentina	Avian	EPI_ISL_18698527	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2483-3/2023	2023-05-29	avian_flu	South America	Argentina	Avian	EPI_ISL_18698526	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2305-6/2023	2023-05-18	avian_flu	South America	Argentina	Avian	EPI_ISL_18698525	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2305-1/2023	2023-05-18	avian_flu	South America	Argentina	Avian	EPI_ISL_18698524	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2064-3/2023	2023-05-08	avian_flu	South America	Argentina	Avian	EPI_ISL_18698522	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2049-3/2023	2023-05-08	avian_flu	South America	Argentina	Avian	EPI_ISL_18698521	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/2034-5/2023	2023-05-05	avian_flu	South America	Argentina	Avian	EPI_ISL_18698520	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1984-4/2023	2023-05-04	avian_flu	South America	Argentina	Avian	EPI_ISL_18698519	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1976-2/2023	2023-05-01	avian_flu	South America	Argentina	Avian	EPI_ISL_18698518	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1708-1/2023	2023-04-19	avian_flu	South America	Argentina	Avian	EPI_ISL_18698512	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1530-3/2023	2023-04-12	avian_flu	South America	Argentina	Avian	EPI_ISL_18698511	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1416-3/2023	2023-04-03	avian_flu	South America	Argentina	Avian	EPI_ISL_18698510	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1375-6/2023	2023-04-03	avian_flu	South America	Argentina	Avian	EPI_ISL_18698509	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1340-2/2023	2023-03-31	avian_flu	South America	Argentina	Avian	EPI_ISL_18698507	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
