strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Counties_Manukau/61/2023	2023-03-23	h3n2_flu	Oceania	New Zealand	Human	EPI_ISL_18165364	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Environmental Science and Research (ESR)
A/Counties_Manukau/39/2023	2023-03-10	h3n2_flu	Oceania	New Zealand	Human	EPI_ISL_18165365	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Environmental Science and Research (ESR)
A/Sydney/451/2023	2023-06-21	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214578	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Victoria/2122/2023	2023-07-30	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214585	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Sydney/584/2023	2023-06-20	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214600	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/599/2023	2023-07-01	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214626	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/601/2023	2023-07-01	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214630	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/609/2023	2023-07-05	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214638	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/651/2023	2023-07-12	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214648	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/706/2023	2023-07-27	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214654	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/709/2023	2023-07-29	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214656	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/710/2023	2023-07-29	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214657	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/712/2023	2023-08-01	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214658	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/715/2023	2023-08-01	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214659	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Victoria/1075/2023	2023-05-24	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214662	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
